id,name,variant,type,size,position,hp,physicalArmor,energyArmor,commandValue,serviceLimit,cruiseSpeed,warpSpeed,antiShip,antiAir,siege,survival,strategy,isCarrier,fighterSlots,corvetteSlots
bc_eternal_storm,永恒风暴级,,battlecruiser,large,front,320000,120,15,40,3,400,2400,S,B,A,A,S,false,0,0
bc_plutus,普卢托斯之盾级,,battlecruiser,large,front,350000,150,20,42,3,380,2300,A,C,A,S,S,false,0,0
bb_constantine,君士坦丁大帝级,M1,battleship,large,mid,280000,100,18,38,2,350,2200,S,D,S,A,A,false,0,0
bb_st59,ST59级,电磁,battleship,large,mid,260000,90,25,36,2,370,2250,A,D,S,A,B,false,0,0
cv_cv3000,CV3000级,,aircraftcarrier,large,back,240000,80,12,35,1,320,2100,C,S,C,B,S,true,8,4
cr_light_chaser,光追级,,cruiser,small,mid,85000,45,10,18,5,650,4200,A,A,C,B,B,false,0,0
cr_callisto,卡利斯托级,,cruiser,small,mid,78000,40,8,16,5,680,4400,A,C,B,B,A,false,0,0
cr_aion,爱奥级,,cruiser,small,front,95000,55,6,20,4,580,3800,B,C,B,A,B,false,0,0
dd_ionstorm,阋神星重炮级,,destroyer,small,mid,28000,18,5,8,10,850,5500,A,D,D,C,B,false,0,0
dd_lancer,枪骑兵级,,destroyer,small,mid,25000,15,5,7,10,880,5700,B,S,D,C,A,false,0,0
ff_carillion,卡利莱恩级,,frigate,small,front,12000,12,3,4,15,1000,6500,C,B,D,B,B,false,0,0
ff_relia,雷利亚特隐身级,,frigate,small,mid,10000,8,4,4,15,1050,6800,A,D,D,C,S,false,0,0
ff_chenghai,澄海级,,frigate,small,front,14000,15,2,5,12,900,6000,C,C,D,A,C,false,0,0
ff_cishuimu,刺水母级,,frigate,small,back,8000,6,8,5,12,950,6200,B,S,D,D,A,false,0,0
ac_mistral,米斯特拉,,fighter,aircraft,air,2500,2,1,2,0,3000,0,A,S,D,C,A,false,0,0
ac_vitas_b,维塔斯B,,fighter,aircraft,air,2200,2,1,2,0,3200,0,S,C,D,C,B,false,0,0
ac_hive,蜂巢,,fighter,aircraft,air,2800,3,1,2,0,2800,0,A,A,B,B,A,false,0,0
ac_cvt800,CVT800脉冲炮艇,,corvette,aircraft,air,3500,4,2,2,0,2500,0,B,A,D,B,B,false,0,0
ac_stingray,鳐鱼级,,corvette,aircraft,air,3000,3,2,2,0,2700,0,S,D,B,B,B,false,0,0
ac_br050,BR050,,corvette,aircraft,air,3200,3,2,2,0,2600,0,A,B,D,B,A,false,0,0
